INCIDENTDATE,INCIDENTHOUR,INCIDENTLOCATION,INCIDENTNEIGHBORHOOD,INCIDENTHIERARCHYDESC,OFFENSES,X,Y
2022-09-07,23,"General Robinson St W & Art Rooney Ave Pittsburgh, PA 15212",North Shore,THEFT FROM AUTO,3934 Theft from Vehicle,-80.0139787806155,40.4465992914668
2022-09-07,23,"5200 Block Duncan St Pittsburgh, PA 15201",Upper Lawrenceville,THEFT,3921 Theft by Unlawful Taking or Disposition.,-79.9511928223412,40.4782834572215
2022-09-08,5,"6300 Block Morrowfield Ave Pittsburgh, PA 15217",Squirrel Hill South,HARRASSMENT,2709(a) Harassment.,-79.9226228644602,40.4274493117033
2022-09-08,5,"700 Block 2nd Ave Pittsburgh, PA 15219",Bluff,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),-79.9945910498533,40.4353346704734
2022-09-08,14,"1800 Block Blvd Of The Allies Aly Pittsburgh, PA 15219",Bluff,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,-79.9815266499332,40.4358047089698
2022-09-13,12,"100 Block Tipton St Pittsburgh, PA 15207",Hazelwood,99,901 Criminal Attempt,,
2022-09-13,13,"100 Block W Burgess St Pittsburgh, PA 15214",Perry South,99,9993 PFA Service with Weapons Supplement,-80.0107423984988,40.4674145659892
2022-09-13,14,"3500 Block Shadeland Ave Pittsburgh, PA 15212",Brighton Heights,99,9994 PFA Service,-80.034172514775,40.4793934957673
2022-09-13,14,"S 15th St & Pius St Pittsburgh, PA 15203",South Side Slopes,99,9999 9999 - (Misc. Incident): Verbal arguement where firearm was shown but not used or poointed at anyone.,-79.9837332002542,40.4247389297678
2022-09-13,14,"700 Block Hargrove St Pittsburgh, PA 15226",Mount Washington,FOUND DRUGS,9017 Found Drugs,-80.0129249619813,40.4144850462875
2022-09-14,6,"800 Block East Ohio St Pittsburgh, PA 15212",East Allegheny,STOLEN PROPERTY - OTHER,13(a)(32) Paraphernalia - Use or Possession / 13(a)(31) Marijuana: Possession Small Amount / 13(a)(16) Possession of Controlled Substance / 4914 False Identification to Law Enforcement Authorities,-79.9967109310997,40.4544186679224
2022-09-14,10,"Arlington Ave & Knox Ave Pittsburgh, PA 15210",Allentown,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,-79.9907035654699,40.4201659062509
2022-09-13,11,"300 Block Rothman St Pittsburgh, PA 15210",Arlington,99,9999 9999 - (Misc. Incident): ,-79.9729013410451,40.4148927446786
2022-09-14,10,"2900 Block Smallman St Pittsburgh, PA 15201",Strip District,AIDED CASE,9497 Aided Case,-79.9746567295873,40.4584288779303
2022-09-14,10,"5000 Block 2nd Ave Pittsburgh, PA 15207",Hazelwood,99,9093 Indirect Criminal Contempt,-79.9436863570209,40.4085502514463
2022-09-13,3,"20 Block Martera Pl Pittsburgh, PA 15205",Crafton Heights,99,9999 9999 - (Misc. Incident): ,-80.0553315752099,40.4446039199921
2022-09-14,10,"2000 Block Centre Ave Pittsburgh, PA 15219",Crawford-Roberts,99,9993 PFA Service with Weapons Supplement,-79.9799824053927,40.4435889103074
2022-09-05,8,"600 Block Wymore St Pittsburgh, PA 15220",Elliott,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,,
2022-09-05,16,"S 17th St Pittsburgh, PA 15203",South Side Flats,ROBBERY,3701 Robbery. / 2701 Simple Assault.,,
2022-09-05,18,"300 Block Seabright St Pittsburgh, PA 15214",Perry South,SIMPLE ASSAULT,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury",-80.0082980321135,40.4661755189128
2022-09-05,18,"200 Block Merrimac St Pittsburgh, PA 15211",Mount Washington,99,9998 Overdose Other,-80.0136312932039,40.4328049112356
2022-09-05,12,"400 Block North Shore Dr Pittsburgh, PA 15212",Central Business District,BURGLARY,3502 Burglary. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3503 Criminal Trespass,-80.0123399020422,40.4462710224948
2022-09-05,20,"2500 Block Allender Ave Pittsburgh, PA 15220",Banksville,MENTAL 201/302,9498 302 (Mental),-80.0471474835948,40.4048900843059
2022-09-06,0,"800 Block Johnston Ave Pittsburgh, PA 15207",Glen Hazel,RUNAWAYS - JUVENILE,029 Missing Juvenile,,
2022-09-08,16,"1500 Block West Liberty Ave Pittsburgh, PA 15226",Beechview,99,9999 9999 - (Misc. Incident): ,-80.0159293680055,40.4105159710503
2022-09-09,7,"100 Block Fountain St Pittsburgh, PA 15212",Central North Side,THEFT,3921 Theft by Unlawful Taking or Disposition.,-80.0019304117184,40.4587585954775
2022-09-09,10,"500 Block Mountain Ave Pittsburgh, PA 15210",Mount Oliver,99,9093 Indirect Criminal Contempt,,
2022-09-09,15,"3100 Block Cordell Pl Pittsburgh, PA 15203",Arlington Heights,MISSING PERSONS (18+),9490 Missing Persons (18 and Over),-79.963452973864,40.4177171713237
2022-09-09,11,"200 Block Melwood Ave Pittsburgh, PA 15213",North Oakland,99,9999 9999 - (Misc. Incident): Fraud Report,-79.9497795440501,40.450131019421
2022-09-09,17,"1300 Block 5th Ave Pittsburgh, PA 15219",Bluff,THEFT,3921 Theft by Unlawful Taking or Disposition.,-79.9881564274288,40.4385460875043
2022-09-09,19,"100 Block E Woodford Ave Pittsburgh, PA 15210",Carrick,NON-VIOLENT DOMESTIC,9012 Non-Violent Domestic,-79.9852515338146,40.393233773724
2022-09-13,16,"2000 Block Centre Ave Pittsburgh, PA 15219",Crawford-Roberts,99,9994 PFA Service,-79.9799824053927,40.4435889103074
2022-09-13,16,"Penn Ave & S Millvale Ave Pittsburgh, PA 15224",Bloomfield,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,-79.9452346817587,40.465305297982
2022-09-13,13,"Bausman St & Saw Mill Run Blvd Pittsburgh, PA 15226",Bon Air,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,-80.0060706441922,40.4110770792173
2022-09-13,15,"800 Block Ivy St Pittsburgh, PA 15232",Shadyside,ETHNIC INTIMIDATION,2710 Ethnic Intimidation. / 5503(a)(3) DISORDERLY CONDUCT - OBSCENE LANG/GEST / 2709(a)(4) Harassment Communicates Prohibited Acts / 5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,-79.9321826876418,40.4516670014812
2022-09-13,16,"3200 Block Niagara St Pittsburgh, PA 15213",South Oakland,MISCELLANEOUS FIRE OTHER INVEST CONTINUED,9123 Miscellaneous Fire Other Investigation to Continue,-79.9604312147515,40.4339267078699
2022-09-13,17,"S 13th St Pittsburgh, PA 15203",South Side Flats,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,-79.9853345711397,40.4286177030744
2022-09-13,17,"1200 Block Liverpool St Pittsburgh, PA 15233",Manchester,99,9999 9999 - (Misc. Incident): Property Dispute over a Cell Phone,-80.0227871421298,40.4556995199787
2022-09-13,16,"7000 Block Upland St Pittsburgh, PA 15208",Homewood North,RUNAWAYS - JUVENILE,029 Missing Juvenile,-79.8992768952674,40.4631465585696
2022-09-13,16,"1200 Block Hollywood St Pittsburgh, PA 15205",Crafton Heights,RUNAWAYS - JUVENILE,029 Missing Juvenile,,
2022-09-13,16,"100 Block Cobbler Cir Pittsburgh, PA 15212",Brighton Heights,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),-80.0289215547145,40.4874067956671
2022-09-12,8,"N Aiken Ave & Hillcrest St Pittsburgh, PA 15224",Garfield,99,9999 9999 - (Misc. Incident): ,-79.9346202289836,40.467694802177
2022-09-14,8,"6300 Block Phillips Ave Pittsburgh, PA 15217",Squirrel Hill South,THEFT FROM AUTO,3934 Theft from Vehicle / 5506 Loitering and Prowling at Night,-79.9182215595663,40.4322924433083
2022-09-14,10,"7200 Block Bennett St Pittsburgh, PA 15208",Homewood South,AGG-ASSAULT,2702 Aggravated Assault.,-79.8966319961519,40.4564560852674
2022-09-07,17,"500 Block Osceola St Pittsburgh, PA 15224",Bloomfield,THEFT,3921 Theft by Unlawful Taking or Disposition.,-79.9419561693682,40.4578376410666
2022-09-14,12,"600 Block Kirkpatrick St Pittsburgh, PA 15219",Middle Hill,CRIMINAL TRESPASS,3503 Criminal Trespass,,
2022-09-10,15,"S Winebiddle St & Harriet St Pittsburgh, PA 15224",Bloomfield,THEFT FROM AUTO,3934 Theft from Vehicle,-79.9435387534049,40.4600297990118
2022-09-14,12,"1000 Block Brushton Ave Pittsburgh, PA 15221",Homewood North,99,9994 PFA Service,-79.887729584877,40.4565467004881
2022-09-08,14,"600 Block 5th Ave Coraopolis, PA 15108",Outside County,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,-79.8480697784508,40.3664262399658
2022-09-06,6,"S 22nd St & Merriman Way Pittsburgh, PA 15203",South Side Flats,CRIM MISCHIEF,3304 Criminal Mischief.,-79.9744148782535,40.4306823019987
2022-09-06,14,"200 Block 6th St Pittsburgh, PA 15222",Central Business District,99,9998 Overdose Other,-80.0001971750407,40.4423287239074
2022-09-06,15,"300 Block Rothman St Pittsburgh, PA 15210",Arlington,99,9994 PFA Service,-79.9729013410451,40.4148927446786
2022-09-06,14,"400 Block Charles St Pittsburgh, PA 15210",Knoxville,99,9993 PFA Service with Weapons Supplement,-79.995306406594,40.4162995582209
2022-09-06,19,"200 Block Lelia St Pittsburgh, PA 15211",Mount Washington,99,9994 PFA Service,-80.0102731357711,40.4218733133314
2022-09-06,14,"2300 Block East Hills Dr Pittsburgh, PA 15221",East Hills,99,9999 9999 - (Misc. Incident): ,-79.871328586779,40.4566162367709
2022-09-06,15,"Spahrgrove St & Sandwich St Pittsburgh, PA 15211",Mount Washington,THEFT FROM AUTO,3934 Theft from Vehicle,-80.0100496609685,40.4253124300862
2022-09-06,6,"S 9th St & Sarah St Pittsburgh, PA 15203",South Side Flats,THEFT FROM AUTO,3934 Theft from Vehicle,-79.9897833847718,40.4279463716028
2022-09-06,20,"300 Block Wood St Pittsburgh, PA 15222",Central Business District,ROBBERY,3701 Robbery. / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,-80.0581533364063,40.5044573772531
2022-09-06,20,"100 Block Ruth St Pittsburgh, PA 15211",Mount Washington,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),-80.0052318979665,40.4237908892986
2022-09-10,15,"7100 Block Kedron St Pittsburgh, PA 15208",Homewood North,CRIMINAL TRESPASS,3503 Criminal Trespass / 9093 Indirect Criminal Contempt,-79.8975131476962,40.4613935568173
2022-09-10,9,"6400 Block Centre Ave Pittsburgh, PA 15206",East Liberty,99,9999 9999 - (Misc. Incident): ,,
2022-09-10,22,"7400 Block Idlewild St Pittsburgh, PA 15208",Homewood North,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,-79.8915697772041,40.4571624023638
2022-09-13,19,"300 Block N Shore Dr S Pittsburgh, PA 15212",North Shore,99,9994 PFA Service,-80.0096363483307,40.4549103553127
2022-09-13,20,"30 Block Merritt ,  15210",Outside State,99,9994 PFA Service,,
2022-09-13,17,"7000 Block Upland St Pittsburgh, PA 15208",Homewood North,RUNAWAYS - JUVENILE,029 Missing Juvenile,-79.8992768952674,40.4631465585696
2022-09-13,19,"Allegheny Sq E & East Commons Pittsburgh, PA 15212",Allegheny Center,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance,-80.0038435737995,40.4534417582664
2022-09-13,19,"1200 Block Goe Ave Pittsburgh, PA 15212",Brighton Heights,99,9999 9999 - (Misc. Incident): ,-80.0329955555156,40.4852866109056
2022-09-11,18,"2600 Block Perrysville Ave Pittsburgh, PA 15214",Perry South,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,-80.0085176085982,40.4711339361923
2022-09-14,12,"100 Block 43rd St Pittsburgh, PA 15201",Central Lawrenceville,AIDED CASE,9497 Aided Case,-79.9639234994252,40.4728743674429
2022-09-14,13,"1600 Block Brownsville Rd Pittsburgh, PA 15210",Carrick,99,9994 PFA Service,-79.9890669688938,40.3998045691587
2022-09-14,12,"W Warrington Ave & Boggston Ave Pittsburgh, PA 15226",Beltzhoover,THEFT,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake.",-80.0076806443939,40.4200955403103
2022-09-14,12,"400 Block 7th Ave Pittsburgh, PA 15219",Central Business District,RETSIL THEFT (SHOPLIFTING),"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise",-79.9965916108674,40.4427401000294
2022-09-14,8,"5200 Block Glenwood Ave Pittsburgh, PA 15207",Hazelwood,99,9999 9999 - (Misc. Incident): ,-79.9397268915938,40.4064431967561
2022-09-11,19,"300 Block Birmingham Ave Pittsburgh, PA 15210",Carrick,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,-79.9840218779391,40.4028007052174
2022-09-07,12,"2000 Block Centre Ave Pittsburgh, PA 15219",Crawford-Roberts,99,9994 PFA Service,-79.9799824053927,40.4435889103074
2022-09-08,14,"Shady Ave & Aylesboro Ave Pittsburgh, PA 15217",Squirrel Hill North,FOUND PROPERTY,9489 Found Property,-79.9195911401069,40.4402855546778
2022-09-10,18,"10 Block Pride St Pittsburgh, PA 15219",Bluff,HARRASSMENT,"2709(a)(3) Harassment No Legitimate Purpose / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF / 3304(a)(1) CRIMINAL MISCHIEF-Prop Damage By Fire, Explosives, or Other Dangerous Means",,
2022-09-11,13,"300 Block Cedar Ave Pittsburgh, PA 15212",East Allegheny,LOST PROPERTY,9504 Lost Property,-80.0009078039902,40.4508935599436
2022-09-11,14,"Semple St & Ward St Pittsburgh, PA 15213",Central Oakland,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop. / 3744 Duty to Give Information and Render Aid,-79.9541977162253,40.4364173112568
2022-09-11,13,"2400 Block Brownsville Rdwy Pittsburgh, PA 15210",Central Business District,ROBBERY,3701 Robbery. / 2702 Aggravated Assault. / 2701 Simple Assault. / 3304 Criminal Mischief.,-79.9835557643587,40.3869345976778
2022-09-11,19,"2300 Block Eldridge St Pittsburgh, PA 15217",Squirrel Hill South,99,3503(b.1) Criminal Trespass - Simple Trespasser,-79.9225384968557,40.4315853487827
2022-09-11,17,"2800 Block Berg St Pittsburgh, PA 15203",South Side Slopes,SIMPLE ASSAULT,2701(a)(3) Simple Assault - Attempts by Physical Menace ,-79.9690578846532,40.4191531168029
2022-09-11,18,"1200 Block Commercial St Pittsburgh, PA 15218",Swisshelm Park,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 13(a)(16) Possession of Controlled Substance / 9501 Bench Warrant / 9501 Bench Warrant / 4914(A) False Identification to Law Enforcement,,
2022-09-12,0,"Beaver Ave & Island Ave Pittsburgh, PA 15233",Chateau,99,1373 Suspension of Registration. / 627.02(b)(i) Possessing a small amount of marijuana / 1543 Driving While Operating Privilege is Suspended or Revoked.,-80.0321344460105,40.4620696058784
2022-09-12,2,"700 Block Gallion Ave Pittsburgh, PA 15226",Brookline,SIMPLE ASSAULT,2701 Simple Assault. / 9093 Indirect Criminal Contempt,-80.0195671662902,40.3965941227683
2022-09-12,10,"50 Block Montgomery Pl Pittsburgh, PA 15212",Allegheny Center,SIMPLE ASSAULT,2701 Simple Assault.,-80.0049643611736,40.4548112586575
2022-09-13,21,"300 Block Mt Pleasant Rd Pittsburgh, PA ",Northview Heights,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),,
2022-09-14,0,"100 Block Burrows St Pittsburgh, PA 15213",Terrace Village,99,9994 PFA Service,,
2022-09-14,0,"1600 Block Forsythe St Pittsburgh, PA 15212",Marshall-Shadeland,MISSING PERSONS (18+),9490 Missing Persons (18 and Over),-80.0351732791304,40.4710648786927
2022-09-14,1,"Penn Ave & 31st St Brg Pittsburgh, PA 15201",Strip District,AIDED CASE,9497 Aided Case,-79.9713771559746,40.459807766772
2022-09-14,1,"Stockton St & Anderson St Pittsburgh, PA 15212",Allegheny Center,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 13(a)(31) Marijuana: Possession Small Amount / 1501 Drivers Required to be Licensed.,-80.0013438046433,40.4507837193555
2022-09-14,1,"1100 Block Mc Cabe St Pittsburgh, PA 15201",Stanton Heights,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING",-79.9398684846759,40.4785303686333
2022-09-14,2,"California Ave & Chellis St Pittsburgh, PA 15212",Brighton Heights,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,-80.0434688920938,40.4862557065728
2022-09-14,2,"2700 Block Brighton Rd Pittsburgh, PA 15212",Marshall-Shadeland,99,8106 Shots Fired,-80.0258617459492,40.4707471873694
2022-09-14,3,"5000 Block 2nd Ave Pittsburgh, PA 15207",Greenfield,99,9999 9999 - (Misc. Incident): 9999 - (Misc. Incident): ,-79.9436863570209,40.4085502514463
2022-09-14,3,"1300 Block Methyl St Pittsburgh, PA 15216",Beechview,99,9999 9999 - (Misc. Incident): Emergency PFA,-80.0259685039002,40.4162839680059
2022-09-14,11,"Washington Blvd & Shetland St Pittsburgh, PA 15206",Homewood West,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,-79.9071372636386,40.4598802165492
2022-09-12,8,"200 Block Johnston Ave Pittsburgh, PA 15207",Hazelwood,ROBBERY,3702 Robbery of Motor Vehicle. / 3701 Robbery. / 2706 Terroristic Threats. / 2701(a)(3) Simple Assault - Attempts by Physical Menace  / 6106 Firearms not to be Carried without a License. / 6110.1 Possesion of Firearm by Minor,-79.9417473406889,40.406195916186
2022-09-14,13,"1400 Block Watson St Pittsburgh, PA 15219",Bluff,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,-79.9864620513628,40.4382098827404
2022-09-14,12,"4000 Block Ludwick St Pittsburgh, PA 15217",Squirrel Hill South,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),-79.9248799628831,40.4253488250302
2022-09-10,0,"1500 Block Alton St Pittsburgh, PA 15216",Beechview,THEFT,3921 Theft by Unlawful Taking or Disposition.,-80.0212400542457,40.4119210949843
2022-09-14,12,"2400 Block Allequippa St Pittsburgh, PA 15213",Terrace Village,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),,
2022-09-14,11,"1200 Block Western Ave Pittsburgh, PA 15233",Chateau,DRUG INVESTIGATION,9124 Drug Investigation,-80.0219684615574,40.4512177173984
2022-09-14,12,"5300 Block Waterford St Pittsburgh, PA 15224",Garfield,FOUND PROPERTY,9489 Found Property,-79.937529385159,40.4653594769788
2022-09-08,20,"700 Block Johnston Ave Pittsburgh, PA 15207",Glen Hazel,99,9999 9999 - (Misc. Incident): ,-79.9337392354462,40.4056098631174
2022-09-08,0,"3200 Block Faronia St Pittsburgh, PA 15204",Sheraden,AIDED CASE,9497 Aided Case,-80.0663606774522,40.451609860466
2022-09-09,1,"100 Block S 13th St Pittsburgh, PA 15203",South Side Flats,THEFT,3921 Theft by Unlawful Taking or Disposition.,-79.9854591647134,40.427056430929
2022-09-09,8,"400 Block 1st Ave Pittsburgh, PA 15219",Central Business District,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,,
2022-09-08,19,"600 Block 1st Ave Pittsburgh, PA 15219",Esplen,DISORDERLY CONDUCT,5503(a)(3) DISORDERLY CONDUCT - OBSCENE LANG/GEST / 2709(a)(4) Harassment Communicates Prohibited Acts,-79.9960409452176,40.4350395659105
2022-09-11,19,"6500 Block Deary St Pittsburgh, PA 15206",Lincoln-Lemington-Belmar,99,9994 PFA Service,-79.9059867378875,40.4669114713731
2022-09-12,7,"8th St & Penn Ave Pittsburgh, PA 15222",Central Business District,THEFT,3921 Theft by Unlawful Taking or Disposition.,-79.9993400698746,40.4434857299394
2022-09-12,12,"1700 Block Sidney St Pittsburgh, PA 15203",South Side Flats,99,9999 9999 - (Misc. Incident): ,-79.9819199883924,40.4297625796748
2022-09-11,0,"1200 Block Waterfront Pl N Pittsburgh, PA 15222",Central Business District,THEFT FROM AUTO,3934 Theft from Vehicle / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,-79.9749610514371,40.4682203114825
2022-09-14,5,"2300 Block Salisbury St Pittsburgh, PA 15210",South Side Slopes,AIDED CASE,9497 Aided Case,-79.9741970991369,40.4189610730572
2022-09-13,13,"1200 Block Brownsville Rd Pittsburgh, PA 15210",Carrick,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,-79.9901999851368,40.4040717030521
2022-09-14,6,"70 Block E Carson St Pittsburgh, PA 15210",South Shore,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,-80.0018626723817,40.4311080549847
2022-09-13,10,"7100 Block Willard St Pittsburgh, PA 15208",Point Breeze,CREDIT CARDS,4106 Access Device Fraud,,
2022-09-14,2,"2300 Block E Carson St Pittsburgh, PA 15203",South Side Flats,CRIM MISCHIEF,3304 Criminal Mischief. / 3503 Criminal Trespass,-79.9729281846314,40.4281041224505
2022-09-12,8,"5th Ave & Wilkins Ave Pittsburgh, PA 15232",Shadyside,99,9999 9999 - (Misc. Incident): ,-79.9372951095105,40.4478000972934
2022-09-13,11,"200 Block Gross St Pittsburgh, PA 15224",Bloomfield,THEFT BY DECEPTION,4106 Access Device Fraud / 3922 Theft by Deception.,-79.9445272676255,40.4647285168298
2022-09-14,10,"7300 Block Susquehanna St Pittsburgh, PA 15208",Homewood South,BURGLARY,3502 Burglary.,-79.8964368454768,40.4529830140884
2022-09-09,16,"1900 Block Murray Ave Pittsburgh, PA 15217",Squirrel Hill South,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft. / 1372 Unauthorized Transfer or Use of Registration.,-79.9230679471987,40.4358796223012
2022-09-09,20,"1400 Block Dickson St Pittsburgh, PA 15212",Marshall-Shadeland,CRIM MISCHIEF,3304 Criminal Mischief.,-80.0318899879814,40.4696875799778
2022-09-10,11,"3200 Block Iowa St Pittsburgh, PA 15219",Upper Hill,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,-79.9573654183253,40.450891597232
2022-09-10,19,"3000 Block Chartiers Ave Pittsburgh, PA 15204",Sheraden,AIDED CASE,9497 Aided Case,-80.058481942609,40.4545060858459
2022-09-10,18,"East Commons & North Commons Pittsburgh, PA 15212",Allegheny Center,99,3736 Reckless Driving,-80.0041839744914,40.4542698677345
2022-09-10,20,"Scotland St & Reedsdale St Pittsburgh, PA 15212",Allegheny West,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,-80.0104678976398,40.4482661620612
2022-09-11,2,"600 Block Pressley St Pittsburgh, PA 15212",East Allegheny,TERRORISTIC THREATS,2706 Terroristic Threats.,-79.9986796721415,40.4522188227154
2022-09-12,16,"2500 Block Chauncey Dr Pittsburgh, PA 15219",Bedford Dwellings,THEFT,3921 Theft by Unlawful Taking or Disposition.,-79.9738397090324,40.4509833047534
2022-09-08,23,"300 Block Miltenberger St Pittsburgh, PA 15219",Bluff,THEFT,3921 Theft by Unlawful Taking or Disposition.,-79.9816280580953,40.4370244816577
2022-09-12,17,"20 Block Hillburn St Pittsburgh, PA 15207",Hays,TERRORISTIC THREATS,2706 Terroristic Threats. / 3304 Criminal Mischief.,-79.9314149354152,40.3830863498913
2022-09-12,19,"1200 Block High St Pittsburgh, PA 15212",Spring Garden,CRIMINAL TRESPASS,3503 Criminal Trespass,-79.9916394451737,40.4606412543235
2022-09-12,21,"6th Ave & Centre Ave Pittsburgh, PA 15219",Central Business District,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,-79.9941809998118,40.4399786302627
2022-09-10,21,"300 Block 5th Ave Pittsburgh, PA 15222",Central Business District,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",-80.0002903704474,40.4405261905044
2022-09-12,20,"Middle St & Foreland St Pittsburgh, PA 15212",East Allegheny,PROSTITUTION,5902(a)(2) Prostitution - Loitering for purpose of / 5902(a)(1) Prostitution  / 13(a)(32) Paraphernalia - Use or Possession,-79.9993927322196,40.4545767003079
2022-09-14,6,"600 Block Pressley St Pittsburgh, PA 15212",East Allegheny,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),-79.9986796721415,40.4522188227154
2022-09-13,6,"7th St & Fort Duquesne Blvd Pittsburgh, PA 15222",Central Business District,THEFT FROM AUTO,3934 Theft from Vehicle,-80.0008672588076,40.4446333846099
2022-09-14,7,"5400 Block Rosetta St Pittsburgh, PA 15206",Garfield,THEFT FROM AUTO,3934 Theft from Vehicle,,
2022-09-14,8,"E Carson St & S 22nd St Pittsburgh, PA 15203",South Side Flats,99,9134 Pedestrian Hit by Vehicle/Non-Reportable Accident,-79.9746421516966,40.42842082423
2022-09-14,7,"300 Block 3rd Ave Pittsburgh, PA 15222",Central Business District,AIDED CASE,9497 Aided Case,-80.0016135598372,40.4388661313797
2022-09-10,22,"100 Block Federal St S Pittsburgh, PA 15212",North Shore,99,3503(b.1) Criminal Trespass - Simple Trespasser,-80.0037669983711,40.4477993564896
2022-09-05,17,"100 Block Elmont St Pittsburgh, PA ",Overbrook,CREDIT CARDS,4106 Access Device Fraud,,
2022-09-06,21,"3000 Block Pioneer Ave Pittsburgh, PA 15226",Brookline,MENTAL 201/302,9498 302 (Mental),-80.0285329382489,40.3945520191713
2022-09-06,21,"300 Block N Craig St Pittsburgh, PA 15213",North Oakland,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",-79.9490918148169,40.445574514372
2022-09-06,22,"3200 Block Brighton Rd Pittsburgh, PA 15212",Marshall-Shadeland,TERRORISTIC THREATS,2706 Terroristic Threats. / 5505 Public Drunkenness / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF / 601.12 Interference with Official Duties / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION,-80.0311081190629,40.4757891815702
2022-09-05,1,"2300 Block East Hills Dr Pittsburgh, PA 15221",East Hills,99,9999 9999 - (Misc. Incident): ,-79.871328586779,40.4566162367709
2022-09-07,0,"2200 Block Federal Ext N Pittsburgh, PA 15214",Perry South,RUNAWAYS - JUVENILE,029 Missing Juvenile,,
2022-09-06,10,"2100 Block Murray Ave Pittsburgh, PA 15217",Squirrel Hill South,CRIM MISCHIEF,3304 Criminal Mischief.,-79.9232375474542,40.4335141965719
2022-09-06,10,"2100 Block Murray Ave Pittsburgh, PA 15217",Squirrel Hill South,99,9999 9999 - (Misc. Incident): ,-79.9232375474542,40.4335141965719
2022-09-06,17,"Chartiers Ave & Lorenz Ave Pittsburgh, PA 15220",Elliott,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,-80.0406334627401,40.4439809733651
2022-09-07,2,"400 Block Moore Ave Pittsburgh, PA 15210",Knoxville,99,9093 Indirect Criminal Contempt,-79.9951527857208,40.4120060395247
2022-09-06,15,"4000 Block Penn Ave Pittsburgh, PA 15201",Bloomfield,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,-79.9579274529427,40.4651883742036
2022-09-07,15,"7500 Block Mulford St Pittsburgh, PA 15221",Homewood South,CRIMINAL HOMICIDE,2501 Criminal Homicide. / 9495 Suicide,,
2022-09-07,22,"Saw Mill Run Blvd & Woodruff St Pittsburgh, PA 15220",Duquesne Heights,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property / 3744 Duty to Give Information and Render Aid,-80.0199299522882,40.4258728267517
